a,b,answer
96,65,94
43,71,17
14,51,25
56,74,6
45,83,73
90,57,22
95,26,82
23,8,15
34,94,21
45,9,5
87,36,59
28,90,93
83,7,95
57,73,34
47,2,72
33,80,38
54,40,45
50,95,72
57,72,21
4,48,89
60,21,86
89,15,90
36,9,4
76,89,39
17,57,2
66,76,80
27,76,68
90,5,18
40,2,20
1,7,14
20,6,68
91,70,11
4,49,8
14,84,81
75,46,67
91,12,48
70,51,28
25,50,49
76,11,51
1,88,43
83,41,73
37,7,33
82,61,57
62,13,57
96,53,86
63,35,60
84,82,72
35,26,20
86,23,67
40,1,40
59,83,72
58,59,24
30,36,17
26,96,71
5,5,1
53,80,14
87,20,48
37,89,56
4,64,91
77,31,15
48,42,15
23,84,43
49,17,20
53,36,85
16,8,2
45,67,47
86,29,13
41,34,44
80,52,9
64,87,13
52,17,43
93,54,61
71,27,17
9,31,66
32,6,70
35,57,84
65,12,62
91,82,78
27,90,10
62,95,66
16,26,23
8,87,38
74,68,61
85,17,5
73,36,64
45,12,28
6,35,75
64,31,49
62,48,70
77,22,52
14,72,46
52,73,14
46,32,56
67,63,18
36,14,58
8,56,14
39,25,52
83,80,75
81,58,80
9,50,6
63,27,67
62,80,42
96,77,34
85,1,85
17,34,49
54,71,80
42,57,62
59,54,46
26,95,84
57,33,37
33,78,34
47,9,16
43,31,89
42,48,13
80,12,39
87,56,31
52,29,62
83,5,36
42,24,26
4,87,19
37,72,80
49,88,70
79,12,47
22,86,95
44,4,11
84,41,47
94,59,69
83,4,45
59,51,43
58,27,74
20,7,86
45,71,2
44,52,68
34,2,17
0,27,0
76,65,34
37,37,1
29,69,44
45,21,16
23,31,7
17,58,12
71,57,54
88,90,29
42,21,2
19,41,88
28,78,70
75,34,45
70,47,18
12,9,66
83,24,56
54,59,19
29,80,4
18,70,64
93,37,13
84,60,79
13,77,43
2,9,11
14,61,5
33,71,92
84,48,26
86,72,47
20,90,11
18,64,70
63,83,44
45,23,61
39,86,67
38,56,18
41,71,32
30,64,52
79,31,62
62,47,88
19,24,21
14,90,95
12,60,39
55,58,16
80,34,48
54,90,20
60,1,60
55,22,51
14,52,4
95,13,67
51,11,84
29,87,65
8,42,51
11,41,5
18,88,95
76,35,77
31,66,96
35,38,29
70,69,46
32,68,29
26,62,63
21,8,39
96,14,90
10,25,78
65,76,20
81,95,8
42,74,53
35,67,15
79,10,37
82,78,11
51,5,49
85,86,54
52,64,19
40,63,73
37,49,74
83,51,72
31,91,11
27,91,44
79,61,49
86,74,30
13,56,47
17,86,69
10,58,47
70,91,53
41,67,73
47,31,86
31,2,64
28,64,55
0,52,0
13,50,41
3,91,48
9,16,43
45,94,82
41,5,47
71,66,29
27,60,15
52,67,50
89,35,94
15,17,18
77,40,48
56,84,33
54,88,91
89,84,23
79,47,12
48,93,85
20,87,95
72,61,95
52,40,11
58,3,84
16,89,95
33,70,85
42,13,48
85,35,44
45,25,60
16,36,22
70,41,23
4,50,35
44,32,62
74,51,49
47,70,27
70,13,80
72,78,83
56,23,91
6,64,88
8,28,28
39,7,61
93,96,4
96,66,72
44,14,17
22,80,90
67,53,58
76,38,2
25,83,19
10,5,2
54,78,38
31,89,81
81,27,3
93,50,62
30,51,12
9,60,5
43,35,4
29,28,53
20,45,22
69,24,15
41,90,8
79,91,3
66,96,31
66,66,1
47,95,25
76,29,16
72,8,9
26,2,13
31,73,27
33,50,22
75,36,91
62,67,82
86,31,81
86,66,16
87,18,21
34,62,60
1,90,83
43,18,94
0,46,0
81,54,50
76,68,81
59,70,5
96,64,50
93,34,17
25,38,90
43,80,26
30,33,45
91,35,22
1,34,20
85,82,59
90,10,9
73,96,24
59,81,63
70,53,91
57,6,58
51,20,85
73,53,27
5,42,44
78,49,59
4,24,81
16,16,1
50,2,25
86,15,51
22,45,63
37,73,51
0,29,0
31,90,51
19,83,61
90,11,17
60,19,44
15,95,41
44,27,16
91,48,12
27,50,18
33,56,82
93,27,25
82,60,24
85,38,15
54,74,82
18,48,61
83,46,25
17,51,65
89,40,58
14,68,43
58,24,59
73,3,89
56,26,32
30,10,3
29,21,6
12,65,36
50,42,52
15,82,96
15,19,11
8,43,25
96,13,82
27,61,72
38,66,77
58,11,67
3,24,85
65,4,89
2,77,29
38,32,80
19,40,32
93,75,9
55,53,23
26,10,22
84,56,50
85,3,93
40,62,82
18,66,62
4,1,4
83,25,46
44,41,20
38,34,81
75,30,51
5,21,88
77,60,32
62,12,86
74,57,3
6,18,65
81,83,15
41,20,36
42,1,42
15,4,28
26,84,95
56,82,48
88,57,56
5,92,96
85,94,4
28,28,1
80,43,56
19,26,94
7,29,27
69,50,46
13,72,15
35,61,61
12,78,30
14,48,69
17,69,86
19,67,22
84,18,37
34,91,59
91,89,25
96,44,11
92,46,2
26,37,61
37,5,85
33,81,4
49,23,19
75,94,72
27,73,11
16,12,66
83,53,40
84,43,20
66,94,75
76,73,13
8,82,90
84,94,69
2,89,24
61,17,15
8,8,1
39,37,43
33,65,2
83,32,42
16,53,79
80,8,10
42,69,47
88,75,93
48,41,13
40,82,62
18,2,9
52,85,28
43,50,61
95,72,35
71,2,84
18,9,2
90,93,26
55,92,86
25,67,80
39,45,72
13,35,17
25,90,38
14,96,83
8,38,87
18,86,16
85,6,95
48,73,95
74,60,95
82,59,54
24,10,80
39,1,39
19,68,93
67,80,36
74,75,76
87,29,3
2,48,93
81,89,2
84,51,53
65,87,42
43,67,60
23,59,53
45,74,36
26,38,16
86,41,92
7,49,14
65,83,30
3,11,62
87,86,45
37,48,23
68,14,88
37,75,38
63,4,40
31,59,63
79,29,83
57,94,78
68,92,64
39,21,85
0,30,0
95,51,38
79,17,56
12,42,28
42,26,24
67,56,93
96,49,95
41,62,21
85,78,67
75,67,46
30,3,10
66,62,48
62,54,73
71,83,85
4,70,25
29,5,64
25,60,57
74,29,36
67,52,33
11,29,84
9,94,94
37,66,52
91,77,10
61,47,24
36,13,55
10,89,23
12,15,59
3,87,87
27,71,40
50,91,24
4,75,88
32,38,57
38,26,91
88,52,39
90,50,60
48,44,54
85,50,89
10,7,43
13,44,51
79,54,32
36,27,66
77,94,39
86,71,34
58,64,10
66,65,4
35,51,14
2,10,39
58,38,73
35,30,82
16,96,81
67,2,82
4,71,67
6,51,80
36,35,62
62,79,72
86,46,82
40,31,67
17,66,37
79,79,1
31,75,3
2,84,67
15,9,34
54,76,39
6,71,52
52,57,86
44,47,3
35,77,71
21,93,19
51,80,94
51,48,92
42,15,61
90,43,63
85,15,38
22,76,59
52,65,59
31,18,61
38,45,3
45,56,6
54,61,47
85,18,64
3,40,51
46,70,45
69,65,13
44,46,60
11,15,46
65,78,17
0,40,0
11,26,34
32,45,74
36,23,10
27,18,50
46,95,74
69,8,45
25,42,26
32,94,54
2,61,70
3,7,42
30,94,87
6,45,26
14,16,13
31,68,19
37,63,36
82,30,48
66,24,27
65,74,52
88,85,25
50,74,40
38,15,9
36,44,89
62,46,14
6,74,63
18,65,54
34,84,72
55,3,83
0,78,0
2,83,83
2,2,1
25,82,63
20,23,81
77,72,59
0,75,0
11,40,90
4,96,93
8,92,76
25,46,87
78,80,81
73,88,35
1,96,96
39,48,19
31,5,45
60,57,47
95,79,54
1,94,32
1,39,5
61,46,92
74,53,38
18,63,28
12,85,96
66,64,95
93,74,55
27,38,39
44,82,10
45,47,67
11,83,20
20,58,94
23,67,93
55,71,24
22,92,15
36,28,29
28,71,81
24,90,52
23,81,41
42,65,29
7,54,63
3,45,13
31,95,33
12,20,20
22,41,10
28,37,6
71,69,91
25,5,5
39,81,40
43,44,12
95,30,84
10,94,29
2,72,62
40,47,38
20,54,83
29,41,22
6,17,46
27,54,49
69,96,28
15,1,15
86,81,31
38,43,46
91,55,14
13,15,72
27,79,47
2,95,96
81,61,22
54,64,16
96,27,79
23,63,25
29,19,73
66,39,39
30,74,24
89,43,72
20,13,9
2,90,69
70,16,65
71,19,65
0,8,0
89,20,19
62,49,27
28,49,56
89,32,24
79,53,93
34,85,78
10,66,56
70,45,77
43,39,21
49,90,90
68,13,50
20,85,63
62,69,74
32,66,24
84,77,54
47,11,66
14,50,74
78,69,18
33,7,74
3,41,19
7,62,58
31,25,9
13,64,29
85,62,53
26,69,6
17,59,94
3,15,39
61,55,84
22,38,21
0,18,0
6,57,92
85,68,74
89,93,2
51,86,13
17,29,24
39,44,56
28,86,68
57,11,14
20,82,31
45,54,17
21,13,24
95,16,12
38,50,90
37,50,57
28,59,35
87,1,87
41,44,34
4,22,9
31,58,39
79,3,91
60,69,81
49,74,78
19,65,57
41,69,2
15,28,4
52,77,75
59,75,37
24,79,31
26,40,54
80,91,19
15,50,10
90,28,24
84,65,58
3,78,56
62,70,48
83,68,54
40,43,28
26,16,38
4,79,86
16,30,7
91,92,40
12,69,55
8,68,80
55,18,30
40,80,49
83,55,65
53,78,84
58,30,86
68,58,48
26,22,10
95,64,3
34,71,36
85,66,88
72,12,6
89,41,14
83,83,1
80,45,88
65,58,63
3,34,60
36,81,22
54,80,71
19,25,90
75,10,56
94,86,62
84,61,30
65,17,78
10,52,86
73,13,28
44,21,76
24,22,54
25,1,25
24,23,39
10,9,55
91,90,84
51,49,5
41,19,43
39,4,34
95,94,33
33,12,27
16,3,70
16,76,87
55,14,94
66,8,81
47,63,30
50,11,31
46,1,46
30,85,46
36,5,46
24,12,2
87,77,49
21,34,32
81,70,94
92,74,93
67,87,3
55,9,60
15,64,26
64,84,10
28,81,71
36,52,38
40,13,18
54,34,13
29,48,39
23,47,17
18,60,10
57,67,66
57,41,70
75,87,41
60,62,26
53,5,30
56,17,9
12,79,64
85,85,1
38,88,82
88,29,90
5,59,79
52,38,32
12,14,84
66,6,11
68,49,39
73,85,2
21,88,30
2,34,40
11,31,16
8,76,92
36,88,93
75,2,86
83,77,88
30,67,96
33,15,41
94,18,16
38,89,68
43,21,39
57,35,82
75,32,66
26,82,50
30,83,81
58,61,90
78,66,10
92,33,41
45,14,24
89,33,85
28,57,9
80,75,14
23,87,85
55,35,57
92,71,86
78,28,79
23,29,61
18,89,22
61,61,1
70,96,27
39,29,95
71,24,7
49,31,36
55,67,79
35,14,51
51,62,90
1,44,86
23,92,73
17,41,43
7,85,56
50,31,11
36,87,74
88,78,26
94,22,66
19,43,23
84,32,39
4,25,70
73,72,32
3,16,79
77,29,6
73,28,13
30,32,7
95,20,29
38,94,52
95,86,9
64,40,21
49,48,96
89,58,40
22,17,7
67,62,84
44,78,13
65,92,84
10,81,60
79,67,20
66,69,60
57,19,3
39,20,65
10,69,62
22,96,75
47,52,55
79,23,92
68,64,92
7,2,52
6,53,66
88,61,73
31,27,73
4,82,45
22,87,56
41,59,27
95,35,72
2,82,71
94,68,67
15,94,92
14,12,82
39,55,6
67,70,55
74,38,53
26,9,46
61,7,78
45,78,64
69,77,79
15,74,12
48,32,50
28,51,50
90,76,65
24,41,55
95,36,70
58,15,75
88,58,45
36,37,77
24,67,38
22,67,51
25,79,4
36,93,88
56,95,69
65,33,49
88,59,13
65,51,26
57,5,89
31,94,22
18,35,31
86,96,11
7,51,61
75,73,9
73,31,18
85,69,42
7,38,64
18,54,65
39,26,50
91,5,57
73,81,50
0,94,0
33,14,37
57,78,94
4,57,29
76,77,35
70,94,9
25,62,27
30,14,16
64,2,32
49,36,31
36,73,47
42,20,70
84,21,4
25,47,48
31,45,5
72,5,92
66,90,46
13,70,57
17,6,19
34,93,40
31,34,38
30,37,48
42,52,12
26,80,27
9,28,80
59,41,18
41,53,63
57,95,20
87,44,13
37,35,26
65,82,28
78,26,3
45,1,45
20,81,23
66,60,69
18,46,51
86,22,48
73,79,66
11,5,41
9,87,67
21,70,10
58,53,56
51,35,7
88,44,2
1,11,53
65,28,82
3,88,32
38,75,60
69,60,6
65,60,90
39,16,57
27,87,7
37,41,8
82,72,20
86,64,65
96,92,39
40,57,96
53,23,74
92,30,16
43,47,36
82,26,33
0,84,0
22,43,93
75,64,33
12,84,14
67,39,44
18,82,57
1,18,27
81,77,59
0,55,0
92,64,56
10,50,39
8,25,43
75,89,27
6,27,11
11,48,75
56,54,19
86,25,50
82,20,72
64,30,28
53,59,42
12,44,62
21,56,61
92,68,47
80,38,94
35,83,46
37,39,88
7,1,7
87,13,44
23,83,33
45,16,21
6,43,43
94,11,35
89,92,21
52,54,80
86,19,76
87,95,5
69,93,7
93,4,96
11,38,59
1,71,41
16,20,59
51,29,72
88,77,15
41,70,38
14,21,33
18,16,86
17,72,42
2,56,52
47,68,82
94,26,26
56,64,13
1,6,81
8,47,27
16,74,71
68,80,93
0,36,0
66,52,5
11,37,37
64,61,9
22,35,81
64,71,5
91,52,26
72,26,55
71,22,87
53,33,31
72,43,31
85,24,48
64,43,6
93,20,58
36,25,48
16,72,11
15,54,38
22,30,46
11,69,10
10,43,7
89,39,57
33,83,60
17,82,70
69,23,3
61,73,50
92,53,42
22,75,96
17,42,72
10,34,6
49,80,77
63,60,35
12,74,29
12,91,95
4,8,49
8,83,41
84,67,36
13,63,31
31,69,37
13,73,52
16,23,26
82,25,77
12,45,52
82,79,17
90,55,81
56,28,2
53,66,64
79,51,51
45,3,15
73,32,72
56,56,1
10,13,53
53,65,62
22,79,85
12,73,48
90,63,43
94,54,70
22,72,3
27,30,30
58,77,65
14,17,75
40,96,57
72,40,60
46,69,33
25,43,66
73,76,15
93,90,56
74,56,81
24,84,28
51,42,22
72,56,29
44,57,28
84,30,61
41,54,78
36,60,20
90,49,83
89,73,65
29,86,15
6,60,68
38,80,32
64,70,12
66,50,44
91,88,33
1,56,26
23,43,84
58,65,77
74,74,1
90,30,3
10,90,54
62,2,31
67,84,62
28,67,12
71,51,9
64,77,55
96,4,24
41,64,84
36,31,70
10,49,20
55,77,70
42,84,49
50,38,83
29,47,13
45,4,84
82,54,59
43,6,88
65,36,53
63,62,37
43,49,86
22,59,76
92,78,36
67,17,61
8,69,69
83,76,33
52,78,33
51,95,23
20,59,25
90,68,27
10,20,49
23,64,14
46,23,2
48,22,11
83,29,43
38,18,56
4,29,57
84,4,21
40,32,74
17,56,54
24,76,82
79,82,40
9,6,50
63,7,9
23,7,31
32,18,88
39,65,20
35,58,19
86,89,62
90,80,86
22,42,19
53,63,7
64,95,65
65,94,43
29,43,30
26,46,9
42,81,58
51,46,96
32,62,85
28,74,3
61,91,6
75,70,8
14,86,34
45,84,4
1,87,29
77,87,2
34,14,44
45,61,23
79,81,86
76,40,31
77,15,31
17,92,16
4,51,21
16,29,34
23,69,65
60,12,5
52,33,78
14,15,85
94,69,59
96,83,7
43,12,44
17,36,84
49,5,68
75,4,43
70,5,14
44,84,19
44,54,8
23,39,18
26,65,78
33,87,84
24,40,20
43,38,19
78,38,48
31,19,68
18,19,52
69,73,82
34,75,69
15,36,57
1,5,39
13,42,95
85,11,43
63,86,56
48,82,55
57,2,77
9,4,75
72,27,35
19,4,29
83,40,53
80,96,17
55,46,75
61,3,85
36,64,43
57,44,52
14,71,89
25,93,18
10,1,10
71,46,88
50,73,6
89,88,44
91,28,76
60,81,69
30,90,65
49,47,32
7,13,8
78,29,93
58,66,92
18,34,69
51,38,9
56,71,65
96,47,33
74,70,26
59,17,32
57,38,50
6,79,32
83,89,26
81,36,75
87,92,2
8,13,23
95,69,7
33,51,52
11,17,52
20,30,33
49,8,91
8,59,10
70,50,79
19,16,80
66,78,68
78,62,92
30,54,76
7,44,20
14,18,87
42,2,21
59,77,31
46,5,48
9,27,65
10,54,90
91,69,21
57,50,38
10,4,51
23,53,59
23,33,83
20,33,30
19,92,35
52,83,24
40,6,39
30,47,77
88,51,74
5,85,40
72,14,19
87,61,38
54,69,5
47,21,90
6,36,81
61,6,91
90,79,92
48,27,88
52,22,20
59,78,2
88,2,44
12,90,26
33,60,83
56,27,38
74,84,54
4,17,63
12,8,50
26,50,82
67,9,29
53,18,73
13,95,42
54,63,84
46,37,93
84,85,90
45,6,56
53,71,39
46,81,82
70,61,25
67,59,11
28,20,79
56,80,88
2,18,54
49,30,76
9,5,60
24,69,13
21,28,25
56,14,4
92,36,78
78,22,30
71,7,24
39,94,84
27,8,64
82,45,32
39,52,25
15,47,87
26,28,91
67,5,91
34,63,96
4,33,6
21,72,69
9,18,49
33,57,21
75,81,62
48,15,42
54,26,17
22,28,77
81,12,31
55,63,64
36,57,67
51,30,89
18,55,55
16,40,78
52,39,66
46,65,41
56,35,21
31,36,79
77,52,22
10,6,34
11,64,32
40,85,29
33,42,77
32,21,20
52,32,38
94,95,50
3,83,76
74,33,14
8,81,48
17,54,56
4,91,64
82,9,63
96,3,32
92,66,69
55,90,6
87,26,22
45,53,10
80,1,80
27,17,13
57,88,26
85,96,12
85,70,22
37,42,54
1,73,4
6,16,61
68,23,62
23,66,90
27,40,71
71,84,2
59,96,38
80,59,3
68,40,89
63,68,48
4,47,62
4,72,27
94,15,58
87,23,8
91,53,31
17,3,38
39,5,66
34,45,18
87,8,23
35,54,24
25,27,62
22,3,72
75,66,32
77,69,70
69,91,37
87,87,1
48,31,61
82,75,58
35,15,67
47,64,75
94,83,21
0,38,0
55,66,17
74,5,73
65,79,88
30,88,29
37,85,5
42,90,91
68,8,57
32,76,77
51,67,8
45,7,48
80,79,71
58,52,72
3,55,90
28,47,46
90,42,16
96,24,4
71,89,76
9,74,46
56,78,43
47,33,22
63,75,28
37,94,20
63,29,49
33,88,61
20,63,85
25,88,8
61,35,35
55,19,8
14,55,32
96,91,81
75,63,52
95,17,17
23,76,22
76,32,63
39,62,46
64,86,3
39,60,54
70,48,54
43,90,77
67,66,26
68,60,27
54,79,94
14,26,8
63,53,14
17,63,48
92,3,63
15,81,90
85,95,6
59,52,3
11,87,28
64,76,57
7,89,84
72,16,53
12,22,27
70,66,4
44,74,74
72,30,80
4,46,76
2,54,18
6,77,87
95,11,88
83,54,68
56,72,87
37,25,17
46,38,88
14,78,35
6,96,91
90,22,57
85,67,78
66,11,6
95,70,36
6,42,14
84,36,67
11,52,17
13,19,16
4,41,90
18,15,40
55,65,68
87,81,37
12,46,34
22,46,30
8,62,94
17,48,63
31,64,2
65,49,33
95,81,85
31,43,12
1,59,74
19,44,82
66,68,78
21,19,93
52,49,7
46,51,96
60,40,50
39,70,74
45,44,87
69,32,84
78,25,7
33,89,8
10,28,35
25,52,21
30,27,55
77,12,63
61,65,86
21,27,87
12,37,58
6,8,25
95,38,51
72,36,2
14,70,39
18,7,58
57,28,54
47,93,61
16,87,76
25,55,71
61,88,4
85,45,45
74,83,64
34,12,19
53,2,75
59,40,33
20,4,5
28,72,92
49,29,92
37,29,18
38,9,15
15,40,61
20,48,57
54,49,11
93,43,36
49,51,39
73,2,85
24,9,35
76,16,29
69,12,30
46,10,24
32,86,50
8,50,70
94,10,87
34,21,94
86,2,43
27,12,75
73,17,10
30,80,61
53,73,18
36,68,69
89,3,62
16,49,32
25,95,36
33,93,16
36,34,41
79,46,46
62,81,81
38,81,34
73,18,31
94,38,28
18,40,15
26,58,64
60,10,6
41,23,6
54,54,1
41,85,37
52,82,3
11,56,92
5,83,62
29,66,46
20,92,93
91,30,58
46,78,18
41,55,66
13,32,58
46,44,76
32,24,66
46,43,71
64,58,68
36,85,94
20,46,89
69,81,26
58,89,17
33,63,19
56,33,84
90,71,4
40,67,31
0,73,0
42,10,43
5,36,19
89,36,86
96,63,20
16,62,91
37,3,77
24,53,70
54,57,52
87,75,71
56,21,35
21,49,42
86,40,7
88,46,23
47,46,20
71,9,51
72,67,17
7,50,37
58,14,18
81,3,27
17,28,11
39,63,93
74,88,78
61,74,10
25,58,69
21,7,3
81,9,9
41,52,81
70,88,3
40,24,34
26,21,89
17,23,64
91,3,95
94,96,3
30,31,26
37,16,69
68,11,15
18,37,87
92,42,53
93,93,1
58,17,89
88,30,87
16,55,92
75,12,79
89,83,56
69,55,33
93,29,40
79,86,81
39,17,8
41,33,13
17,44,7
62,87,52
1,31,72
5,80,91
15,58,22
48,7,90
43,10,14
95,44,22
30,1,30
25,3,73
53,75,2
94,57,51
18,21,84
70,34,42
19,60,86
79,59,26
92,81,67
49,87,63
75,6,61
41,25,87
17,64,23
6,33,9
91,32,18
15,2,56
28,26,16
37,9,58
11,43,95
52,95,71
33,95,32
15,93,69
55,86,92
63,79,45
79,65,43
96,52,69
83,60,3
48,62,79
36,49,72
96,7,83
6,38,41
82,81,7
75,79,12
76,91,52
66,58,58
57,23,32
85,21,41
19,6,84
61,62,62
19,93,68
93,32,12
50,20,51
7,6,82
52,58,31
4,10,78
56,50,5
26,66,68
23,85,87
79,45,19
48,12,4
77,20,96
88,81,43
79,96,18
33,43,91
67,20,47
72,94,73
80,93,77
48,35,18
86,43,2
46,91,57
61,53,89
35,65,8
9,8,86
69,18,20
34,13,25
82,55,35
24,52,90
40,76,72
56,1,56
47,28,19
8,1,8
90,67,94
95,87,39
70,26,40
15,80,79
57,4,87
90,51,36
24,50,16
79,16,11
55,75,46
88,34,14
50,4,61
69,52,89
82,24,60
15,66,84
92,70,90
39,22,15
25,10,51
10,12,17
85,80,92
87,17,85
92,28,31
33,22,50
65,70,91
24,58,74
31,49,62
75,1,75
85,32,36
34,74,66
15,90,81
12,86,43
11,88,85
74,67,4
13,22,5
94,40,46
44,59,55
1,63,77
14,8,26
28,17,53
11,57,7
8,54,72
5,6,17
0,45,0
55,60,9
19,53,15
23,38,44
46,54,26
63,30,70
95,45,56
71,73,90
54,29,42
22,39,13
44,34,7
46,90,35
48,67,76
42,14,3
47,45,42
91,58,30
12,75,70
26,68,66
88,12,72
50,41,58
9,72,85
53,52,29
71,80,70
27,19,78
47,24,6
45,27,34
37,71,62
20,31,82
4,4,1
63,18,52
69,68,11
92,12,40
28,85,30
41,10,72
81,78,57
53,70,16
89,64,12
36,11,65
79,68,14
78,34,8
70,8,33
11,68,13
8,90,82
85,22,70
4,73,16
34,15,54
8,74,84
57,96,40
15,3,5
18,11,81
21,33,80
87,68,94
1,8,85
80,21,50
27,66,93
74,16,41
51,83,31
63,80,2
79,62,31
83,9,20
54,46,56
19,88,41
29,64,5
20,79,42
63,82,54
38,2,19
0,15,0
50,39,56
96,79,27
82,96,15
30,61,80
85,84,83
70,44,6
1,67,42
68,69,53
71,64,39
27,29,21
85,48,24
67,73,74
92,15,32
51,16,82
3,76,83
40,61,42
54,19,59
46,29,25
29,12,59
57,79,13
4,84,37
74,34,25
28,36,87
30,71,66
21,41,36
68,32,87
14,69,48
7,9,87
51,71,54
40,58,91
22,11,2
52,75,77
47,75,64
56,40,79
18,87,37
84,46,44
29,73,19
66,88,25
38,91,26
92,9,21
13,11,10
7,75,57
81,8,95
9,11,89
25,12,91
1,27,18
28,24,82
95,15,71
40,66,30
64,26,92
34,25,13
71,34,62
77,84,9
58,49,19
43,89,31
67,35,13
87,89,74
42,62,57
91,39,67
44,10,82
85,34,51
39,46,62
58,91,55
85,87,40
88,47,6
0,42,0
73,59,67
8,96,89
61,23,87
9,25,12
94,55,7
65,9,18
37,18,29
70,72,36
27,52,77
26,53,92
52,62,29
38,12,84
38,57,33
67,8,69
53,54,89
48,47,65
26,77,86
92,76,88
92,82,65
53,1,53
84,14,6
21,11,46
39,9,69
4,28,14
81,91,35
71,35,63
25,54,31
69,47,51
17,95,40
83,35,19
71,11,77
33,72,53
52,30,47
59,92,27
37,1,37
59,42,73
84,37,18
58,70,23
64,15,56
8,37,71
95,65,91
59,65,80
55,42,96
74,47,80
4,26,30
43,16,33
85,54,86
26,73,7
31,93,65
90,60,50
21,76,96
61,15,17
68,22,56
19,15,53
4,61,43
31,54,85
75,86,2
4,23,55
14,22,80
0,22,0
67,69,8
84,71,49
59,64,57
96,11,44
81,21,87
32,54,94
95,96,2
90,16,42
5,53,55
64,3,86
73,90,45
50,89,18
80,6,78
50,57,23
90,70,29
20,66,15
30,82,95
63,96,34
24,87,17
4,32,85
82,73,37
7,88,10
61,33,43
77,14,54
65,19,80
26,79,74
84,50,56
1,85,8
47,84,71
26,29,31
45,90,49
1,47,64
71,4,42
79,52,78
30,57,72
82,84,31
55,17,66
20,67,64
92,72,39
83,3,60
61,5,51
62,41,37
91,95,3
46,46,1
48,54,44
37,47,40
79,8,22
60,29,79
10,83,27
92,79,38
45,95,26
91,18,32
29,4,80
62,10,45
85,76,56
65,31,24
67,22,78
93,3,31
86,8,35
17,79,26
87,42,9
79,7,39
73,41,42
73,38,30
44,61,85
40,72,76
91,79,65
8,70,50
67,86,38
51,21,44
43,78,59
8,75,79
12,76,41
54,15,23
1,83,90
92,63,3
29,15,86
78,32,57
79,4,44
36,84,42
21,1,21
94,16,18
41,41,1
46,20,12
64,42,20
52,42,89
61,92,46
52,8,55
9,24,61
13,88,74
20,91,29
75,82,92
67,15,95
54,48,86
66,57,42
70,12,22
4,18,11
58,93,34
25,20,74
36,29,28
9,15,20
24,88,62
19,71,3
85,40,87
9,61,24
57,20,95
15,15,1
91,71,45
5,64,41
35,5,7
95,56,45
85,44,35
90,1,90
41,30,24
48,69,26
27,21,29
41,14,93
34,22,28
62,35,96
50,69,19
52,91,56
43,23,82
91,84,90
81,14,82
82,11,78
8,79,75
87,2,92
22,89,70
36,38,52
30,56,4
16,43,50
40,73,63
48,43,53
20,51,8
45,96,52
21,9,67
25,13,84
84,70,40
73,69,84
25,15,34
24,49,48
10,39,50
12,56,21
56,25,10
30,12,51
55,44,74
42,66,80
8,89,96
7,32,76
49,15,55
43,60,67
47,51,77
68,71,72
9,34,83
37,2,67
78,5,35
47,71,84
45,52,96
2,29,77
33,33,1
71,1,71
14,40,44
21,44,60
45,63,70
61,90,19
86,80,52
48,17,77
48,14,45
20,56,35
69,85,67
79,93,53
16,60,52
24,29,51
76,31,40
67,24,23
96,90,14
4,93,96
80,32,51
31,65,93
41,96,56
59,5,70
8,93,95
28,75,34
16,47,54
22,70,89
70,2,35
5,12,57
35,55,80
23,5,24
59,24,55
71,33,58
43,92,69
3,77,92
11,73,44
31,26,87
1,13,15
68,20,81
35,49,70
46,61,58
15,33,71
45,8,42
11,19,21
92,57,85
65,45,23
96,59,23
25,85,6
14,10,79
13,8,38
92,32,15
46,11,13
6,65,18
90,53,20
68,31,46
65,69,15
93,24,16
48,34,87
19,42,12
93,69,14
3,89,36
30,91,92
62,66,95
95,19,5
33,4,81
77,34,85
92,5,96
85,46,63
61,13,42
76,83,50
9,42,21
75,59,21
93,31,3
23,51,48
35,41,60
82,14,89
12,27,22
78,92,62
72,71,42
54,92,28
48,57,57
10,17,12
89,25,54
3,5,20
63,81,87
16,80,39
15,68,53
39,6,55
28,84,65
17,7,44
4,7,56
43,74,15
84,72,82
75,41,87
56,8,7
52,28,85
52,9,92
60,14,32
17,15,27
65,18,9
85,14,13
62,73,54
59,35,10
88,48,18
58,26,47
24,15,21
34,57,4
33,64,96
78,47,45
2,53,22
9,17,69
46,74,95
18,74,92
78,41,9
92,58,25
33,55,20
88,65,70
61,69,29
3,71,26
1,17,40
49,26,28
45,87,44
64,72,44
14,94,60
0,35,0
91,2,94
57,12,29
79,41,80
19,89,34
52,45,96
0,70,0
34,17,2
1,23,38
57,92,8
81,29,63
12,70,75
25,61,2
81,39,17
29,51,31
23,86,42
28,5,25
90,2,45
91,20,87
35,21,34
1,4,73
25,89,9
51,36,58
78,11,60
57,85,68
74,15,89
0,7,0
46,52,27
31,78,29
12,80,5
73,4,91
24,80,10
73,89,3
51,24,87
42,4,59
77,79,55
80,74,64
86,44,24
1,42,67
6,25,8
86,51,15
5,19,36
80,33,23
18,24,25
22,20,69
37,36,63
92,29,50
67,25,57
70,39,59
8,36,11
58,45,25
38,61,69
27,63,42
18,41,17
5,73,20
73,94,8
58,82,22
55,62,40
49,1,49
35,13,40
74,9,19
15,83,89
6,61,16
48,78,23
34,60,62
14,30,91
21,79,15
56,10,25
